Tag,LocatorName,LocatorValue,LocatorType
span,,/html/body/nav/div[2]/div/a[2]/span[2],Xpath
div,contcont,//div[@id='contcont'],Xpath
div,,/html/body/div[5]/div,Xpath
div,,/html/body/div[5]/div/div[1],Xpath
div,,/html/body/div[5]/div/div[1]/div,Xpath
a,cat,//a[@id='cat'],Xpath
a,itemc,//a[@id='itemc'],Xpath
a,itemc,//a[@id='itemc'],Xpath
a,itemc,//a[@id='itemc'],Xpath
div,,/html/body/div[5]/div/div[2],Xpath
div,tbodyid,//div[@id='tbodyid'],Xpath
div,,/html/body/div[5]/div/div[2]/div/div[1],Xpath
div,,/html/body/div[5]/div/div[2]/div/div[1]/div,Xpath
a,,/html/body/div[5]/div/div[2]/div/div[1]/div/a,Xpath
img,,/html/body/div[5]/div/div[2]/div/div[1]/div/a/img,Xpath
div,,/html/body/div[5]/div/div[2]/div/div[1]/div/div,Xpath
h4,,/html/body/div[5]/div/div[2]/div/div[1]/div/div/h4,Xpath
a,Samsung galaxy s6,"//a[contains(text(), 'Samsung galaxy s6')]",Xpath
h5,,/html/body/div[5]/div/div[2]/div/div[1]/div/div/h5,Xpath
p,article,//p[@id='article'],Xpath
div,,/html/body/div[5]/div/div[2]/div/div[2],Xpath
div,,/html/body/div[5]/div/div[2]/div/div[2]/div,Xpath
a,,/html/body/div[5]/div/div[2]/div/div[2]/div/a,Xpath
img,,/html/body/div[5]/div/div[2]/div/div[2]/div/a/img,Xpath
div,,/html/body/div[5]/div/div[2]/div/div[2]/div/div,Xpath
